,species,decimalLongitude,decimalLatitude,country
1357,Ayenia odonellii,-63.16666,-20.61666,"Bolivia, Plurinational State of"
1358,Ayenia blanchetiana,-41.816666999999995,-13.3,Brazil
1359,Ayenia blanchetiana,-41.816666999999995,-13.3,Brazil
1360,Ayenia filiformis,-111.412,33.835,United States of America
1361,Ayenia wrightii,-109.068056,25.6125,Mexico
1362,Ayenia angustifolia,-41.883333,-13.266667000000002,Brazil
1363,Ayenia angustifolia,-41.883333,-13.266667000000002,Brazil
1364,Ayenia tomentosa,-56.766659999999995,-26.01666,Paraguay
1365,Ayenia odonellii,-57.616659999999996,-25.633329999999997,Paraguay
1366,Ayenia angustifolia,-41.55,-13.266667000000002,Brazil
1367,Ayenia angustifolia,-41.55,-13.1,Brazil
1368,Ayenia erecta,-43.418845000000005,-13.254609,Brazil
1369,Ayenia jussieui,-78.01666,-1.58333,Ecuador
1370,Ayenia jussieui,-78.02,-1.58,Ecuador
1371,Ayenia rotundifolia,-99.70222199999999,21.0175,Mexico
1372,Ayenia rotundifolia,-99.83805500000001,21.045,Mexico
1373,Ayenia krapovickasii,-57.31666,-25.11666,Paraguay
1374,Ayenia angustifolia,-46.25,-13.0,Brazil
1375,Ayenia angustifolia,-46.25,-13.23,Brazil
1376,Ayenia mirandae,-99.617222,17.780832999999998,Mexico
1377,Ayenia microphylla,-102.23067811545548,28.6492361029747,Mexico
1378,Ayenia filiformis,-108.9431,27.015279999999997,Mexico
1379,Ayenia insulicola,-110.375,31.5597,United States of America
1380,Ayenia filiformis,-108.94306,27.015279999999997,Mexico
1381,Ayenia mastatalensis,-84.391667,9.697222,Costa Rica
1382,Ayenia mastatalensis,-84.391667,9.697222,Costa Rica
1383,Ayenia glabra,-101.525,17.7,Mexico
1384,Ayenia filiformis,-112.190278,34.200556,United States of America
1385,Ayenia filiformis,-110.95833300000001,29.025,Mexico
1386,Ayenia jaliscana,-103.17464533134265,21.190523435430396,Mexico
1387,Ayenia jaliscana,-103.18333299999999,21.193889000000002,Mexico
1388,Ayenia odonellii,-57.716936,-25.251516,Paraguay
1389,Ayenia mastatalensis,-84.39,9.69,Costa Rica
1390,Ayenia micrantha,-85.37083299999999,10.176389,Costa Rica
1391,Ayenia micrantha,-85.37083299999999,10.176389,Costa Rica
1392,Ayenia micrantha,-104.83416700000001,21.825278,Mexico
1393,Ayenia micrantha,-85.37,10.17,Costa Rica
1394,Ayenia odonellii,-61.71666999999999,-19.683329999999998,Paraguay
1395,Ayenia odonellii,-61.71666999999999,-19.683329999999998,Paraguay
1396,Ayenia odonellii,-61.71666999999999,-19.683329999999998,Paraguay
1397,Ayenia odonellii,-61.71666999999999,-19.683329999999998,Paraguay
1398,Ayenia odonellii,-61.71666999999999,-19.683329999999998,Paraguay
1399,Ayenia mastatalensis,-84.391667,9.703333,Costa Rica
1400,Ayenia mastatalensis,-84.389444,9.697778,Costa Rica
1401,Ayenia micrantha,-83.2625,8.972222,Costa Rica
1402,Ayenia odonellii,-61.7,-19.66666,Paraguay
1403,Ayenia odonellii,-61.7,-19.66666,Paraguay
1404,Ayenia odonellii,-61.7,-19.66666,Paraguay
1405,Ayenia odonellii,-61.7,-19.66666,Paraguay
1406,Ayenia odonellii,-61.7,-19.66666,Paraguay
1407,Ayenia micrantha,-83.26,8.97,Costa Rica
1408,Ayenia mastatalensis,-84.39166,9.703330000000001,Costa Rica
1409,Ayenia mexicana,-106.08666699999999,24.135,Mexico
1410,Ayenia filiformis,-108.91666699999999,26.916666999999997,Mexico
1411,Ayenia jaliscana,-108.918056,26.9125,Mexico
